Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Greenwich,Kidbrooke with Hornfair,34,5979.2,442,5821,44870,9.3,23.7,26.0,974,67.9,70,6.3,28.2
Greenwich,Middle Park and Sutcliffe,36,4106.1,309,5544,44350,10.2,25.5,27.0,957,70.6,50,6.4,37.0
Greenwich,Peninsula,32,3133.3,644,6209,53050,7.2,15.0,24.4,2361,167.4,76,4.7,33.7
Greenwich,Plumstead,32,7000.0,857,5882,40660,13.9,21.6,23.9,1427,84.9,122,5.2,41.0
Greenwich,Shooters Hill,37,3552.6,277,5322,49190,9.5,19.4,15.9,677,50.1,31,4.8,57.1
Greenwich,Thamesmead Moorings,30,4125.0,841,6957,43220,13.4,18.7,26.4,1682,84.9,77,4.6,55.5
Greenwich,Woolwich Common,29,6750.0,866,6358,38090,15.4,21.8,29.5,1679,95.7,188,5.3,39.4
Greenwich,Woolwich Riverside,30,6000.0,1082,8144,42080,13.4,19.9,32.6,2501,130.3,143,5.4,34.9
Hackney,Brownswood,31,13937.5,906,4882,48860,7.6,14.1,34.4,1005,90.1,76,5.7,28.2
Hackney,Cazenove,28,19214.3,778,4748,46380,10.4,23.5,18.4,736,54.7,47,4.8,12.8
Hackney,Chatham,30,14777.8,805,5604,39570,14.8,21.1,40.7,1685,126.7,132,6.5,20.5
Hackney,Clissold,32,17500.0,545,5156,56050,7.8,14.3,21.1,945,77.1,54,5.8,12.3
Hackney,Dalston,31,16444.4,901,6434,46500,10.5,15.9,36.1,2564,173.2,211,5.5,17.1
Hackney,De Beauvoir,31,15222.2,705,6051,47560,9.4,15.6,33.9,1292,94.3,99,5.5,14.2
Hackney,Hackney Central,31,15750.0,704,5484,42840,12.8,18.4,36.2,1607,127.5,346,6.9,14.1
Hackney,Hackney Downs,31,13000.0,841,5437,43360,12.7,19.3,32.8,1022,78.6,90,6.8,33.8
Hackney,Haggerston,30,11625.0,1090,6256,43830,10.7,16.1,40.4,5024,360.1,445,6.0,19.1
Hackney,Hoxton,29,19000.0,1124,6771,42490,12.3,17.7,39.5,1536,101.1,149,6.0,27.6
